CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID
76,Pallavi Acharya,34,10,,
77,Harini Kamath,33,5,,
78,Reshma Acharya,23,10,,
79,Sharath Naik,62,3,,
80,Sushma Desai,55,6,,
81,Chandana Gaonkar,64,8,,
82,Chandru Talawar,37,10,,
83,Gopal Kamath,45,8,,
84,Akshata Sharma,57,8,,
85,Indira Uppar,27,5,,
86,Hemalatha Jadhav,22,2,,
87,Ravi Madiwalar,32,4,,
88,Indira Shetty,63,2,,
89,Chaitra Belagavi,56,10,,
90,Sushma Khan,65,7,,
91,Sunitha Lamani,39,10,,
92,Vani Bandi,40,10,,
93,Rachana Reddy,31,7,,
94,Vani Khan,40,6,,
95,Vinay Doddamani,40,8,,
96,Waseem Lamani,53,8,,
97,Bindu Hadimani,44,6,,
98,Sahana Kodagu,26,5,,
99,Noor Kumar,43,7,,
100,Umesh Hiremath,30,10,,
101,Nandish Iyer,41,10,,
102,Sahana Madiwalar,32,7,,
103,Lokesh Shanbhag,41,9,,
104,Ruksana Bhat,28,8,,
105,Yashoda Rao,40,10,,
106,Kamala Acharya,27,7,,
107,Manjula Naik,28,5,,
108,Nithin Nayaka,60,4,,
109,Kavya Iyer,37,4,,
110,Harish Badiger,41,6,,
111,Anitha Pujari,61,1,,
112,Noor Uppar,50,3,,
113,Latha Belagavi,26,5,,
114,Harish Kulkarni,42,8,,
115,Sunitha Hegde,62,8,,
116,Harini Rai,51,9,,
117,Rajesh Salian,39,2,,
118,Gopal Hadimani,47,10,,
119,Pavan Kamath,30,8,,
120,Dhanya Mallya,34,8,,
121,Hanumantha Desai,29,7,,
122,Puneeth Pujari,41,8,,
123,Yashwanth Uppar,52,1,,
124,Karthik Rai,32,4,,
125,Akshata Naik,46,6,,
126,Naveen Bandi,46,10,,
127,Vinay Gaonkar,55,2,,
128,Roopa Suvarna,21,4,,
129,Ayesha Patil,35,9,,
130,Ravi Acharya,41,7,,
131,Manjula Doddamani,39,4,,
132,Uday Angadi,41,7,,
133,Devaraj Kamath,49,9,,
134,Vidya Kamath,51,1,,
135,Puneeth Nayaka,36,7,,
136,Ganesh Hiremath,64,4,,
137,Devaraj Reddy,26,9,,
138,Kalpana Bandi,35,8,,
139,Chandana Naik,65,7,,
140,Harish Chavan,31,9,,
141,Mohammed Wali,46,6,,
142,Chandana Suvarna,36,6,,
143,Sharath Kodagu,22,10,,
144,Arun Patil,63,2,,
145,Eshwar Lamani,62,5,,
146,Puneeth Naik,46,2,,
147,Zeenath Hegde,35,9,,
148,Mamatha Devadiga,65,3,,
149,Gopal Jadhav,64,3,,
150,Waseem Bandi,46,9,,
151,Chetan Khan,51,8,,
152,Rachana Bandi,52,3,,
153,Kalpana Lamani,22,2,,
154,Raghavendra Murthy,58,3,,
155,Sunil Uppar,42,9,,
156,Yogesh Angadi,44,4,,
157,Divya Doddamani,49,6,,
158,Latha Kattimani,36,10,,
159,Akshata Mudaliar,25,3,,
160,Varun Madiwalar,25,10,,
161,Noor Devadiga,33,3,,
162,Netravati Bandi,23,8,,
163,Naveen Jadhav,30,5,,
164,Mohammed Devadiga,60,5,,
165,Rachana Rao,37,9,,
166,Uday Suvarna,50,2,,
167,Triveni Murthy,61,8,,
168,Gopal Angadi,59,5,,
169,Pooja Uppar,40,9,,
170,Dinesh Uppar,34,10,,
171,Deepa Jadhav,25,5,,
172,Chetan Kodagu,31,9,,
173,Vinay Murthy,31,4,,
174,Reshma Chavan,43,4,,
175,Deepa Angadi,24,6,,
176,Mohammed Kumar,58,10,,
177,Raghavendra Patil,23,1,,
178,Omkar Jadhav,45,9,,
179,Sharath Talawar,30,10,,
180,Raghavendra Kulkarni,52,1,,
181,Padma Gowda,32,3,,
182,Sahana Bandi,37,6,,
183,Yashoda Rao,37,9,,
184,Puneeth Mallya,49,5,,
185,Varun Lamani,21,6,,
186,Suresh Shanbhag,52,4,,
187,Ruksana Iyer,51,7,,
188,Padma Talawar,30,8,,
189,Thimmaiah Kamath,53,6,,
190,Nithin Shanbhag,57,5,,
191,Sabiha Kamath,31,4,,
192,Gayathri Jadhav,56,7,,
193,Ananya Chavan,30,4,,
194,Sunitha Khan,32,1,,
195,Omkar Naik,30,7,,
196,Ananya Desai,55,8,,
197,Praveen Patil,42,1,,
198,Reshma Rao,43,2,,
199,Noor Pujari,22,6,,
200,Ananya Shetty,62,7,,
201,Naveen Nayaka,41,2,,
202,Nandini Shetty,33,4,,
203,Noor Devadiga,48,2,,
204,Pooja Gowda,28,3,,
205,Madhu Chavan,34,6,,
206,Sabiha Murthy,64,8,,
207,Roopa Salian,55,3,,
208,Ishwarya Hegde,62,8,,
209,Pallavi Pawar,59,1,,
210,Mahesh Acharya,44,7,,
211,Yashoda Pujari,57,6,,
212,Hanumantha Iyer,29,4,,
213,Bharathi Badiger,26,5,,
214,Bindu Hadimani,47,7,,
215,Madhu Mudaliar,43,8,,
216,Triveni Uppar,25,2,,
217,Ranganath Angadi,37,10,,
218,Savitha Bandi,54,4,,
219,Anil Bandi,53,2,,
220,Basavaraj Bandi,64,4,,
221,Dhanya Patil,63,2,,
222,Harish Patil,63,10,,
223,Kiran Hiremath,25,4,,
224,Pallavi Pawar,61,10,,
225,Sunitha Patil,31,8,,
226,Roopa Chavan,51,4,,
227,Srinivas Gaonkar,61,2,,
228,Geetha Uppar,39,8,,
229,Reshma Kulkarni,55,9,,
230,Meena Nayaka,56,2,,
231,Zameer Desai,47,8,,
232,Basavaraj Gowda,21,8,,
233,Eshwar Khan,20,6,,
234,Kamala Rai,23,6,,
235,Manjunath Pujari,38,9,,
236,Hemalatha Badiger,56,6,,
237,Anand Nayaka,53,4,,
238,Prakash Kodagu,47,5,,
239,Zameer Bandi,48,4,,
240,Rekha Reddy,28,6,,
241,Anil Patil,41,3,,
242,Venkatesh Doddamani,41,1,,
243,Pavan Sharma,47,3,,
244,Chandana Naik,50,4,,
245,Abdul Gaonkar,62,10,,
246,Gowramma Suvarna,64,8,,
247,Harini Uppar,22,5,,
248,Tejaswini Hiremath,52,2,,
249,Abdul Hiremath,23,1,,
250,Hanumantha Kattimani,52,1,,
251,Lokesh Pawar,41,3,,
252,Hemalatha Salian,61,7,,
253,Noor Rao,40,6,,
254,Nithin Bhat,35,7,,
255,Chandana Mallya,62,2,,
256,Gayathri Lamani,57,10,,
257,Pavan Bhat,37,2,,
258,Balaji Jadhav,50,1,,
259,Kiran Belagavi,48,5,,
260,Balaji Mallya,44,4,,
261,Vijay Talawar,49,2,,
262,Indira Badiger,33,7,,
263,Varun Shanbhag,28,7,,
264,Lakshmi Angadi,20,1,,
265,Uma Reddy,54,6,,
266,Bharathi Shanbhag,52,6,,
267,Omkar Hegde,53,8,,
268,Divya Gowda,64,3,,
269,Raghavendra Rao,63,6,,
270,Deepa Hiremath,65,3,,
271,Rajesh Talawar,30,1,,
272,Pooja Talawar,59,6,,
273,Girish Hegde,40,1,,
274,Reshma Belagavi,48,6,,
275,Ruksana Kulkarni,22,9,,
276,Noor Uppar,35,8,,
277,Indira Chavan,44,5,,
278,Manjunath Madiwalar,44,2,,
279,Akshata Talawar,36,8,,
280,Mamatha Doddamani,55,1,,
281,Praveen Nayaka,35,9,,
282,Nandish Kulkarni,49,9,,
283,Abdul Hegde,51,5,,
284,Nithin Pujari,53,5,,
285,Chetan Talawar,53,6,,
286,Darshan Kumar,63,9,,
287,Madhu Gowda,53,9,,
288,Vinay Iyer,43,2,,
289,Sahana Lamani,29,6,,
290,Meena Hiremath,61,3,,
291,Dhanya Bandi,24,6,,
292,Lokesh Patil,53,8,,
293,Farhan Kumar,27,2,,
294,Manjunath Naik,29,1,,
295,Arun Kamath,53,4,,
296,Noor Khan,31,7,,
297,Ravi Naik,53,9,,
298,Kavya Sharma,38,4,,
299,Ayesha Badiger,53,1,,
300,Ananya Mallya,32,4,,
301,Puneeth Badiger,37,4,,
302,Jagadish Iyer,65,9,,
303,Kalpana Iyer,23,3,,
304,Ranganath Uppar,28,1,,
305,Yashwanth Kulkarni,28,3,,
306,Kalpana Bandi,58,6,,
307,Savitha Salian,43,7,,
308,Yashoda Kattimani,21,8,,
309,Santosh Chavan,61,6,,
310,Sharath Khan,24,1,,
311,Anitha Madiwalar,24,7,,
312,Anand Sharma,52,1,,
313,Abdul Patil,32,6,,
314,Chandana Pawar,34,7,,
315,Shwetha Lamani,50,6,,
316,Nagaraj Desai,54,8,,
317,Naveen Shanbhag,54,2,,
318,Omkar Uppar,52,10,,
319,Puneeth Talawar,44,8,,
320,Abdul Hadimani,26,7,,
321,Varun Kodagu,57,4,,
322,Salman Reddy,43,7,,
323,Omkar Jadhav,45,1,,
324,Pallavi Desai,36,2,,
325,Eshwar Shanbhag,63,10,,
326,Omkar Shanbhag,61,1,,
327,Ruksana Nayaka,23,2,,
328,Pavan Lamani,60,9,,
329,Zameer Kumar,51,5,,
330,Suresh Gaonkar,36,8,,
331,Hanumantha Madiwalar,34,4,,
332,Thimmaiah Belagavi,26,8,,
333,Zameer Khan,29,6,,
334,Manjunath Kumar,53,2,,
335,Girish Gowda,61,7,,
336,Shivakumar Hegde,48,2,,
337,Mahesh Devadiga,40,7,,
338,Harini Belagavi,64,3,,
339,Sunil Rai,53,6,,
340,Umesh Reddy,44,9,,
341,Lokesh Kodagu,64,4,,
342,Santosh Jadhav,37,5,,
343,Varun Khan,24,9,,
344,Akshata Nayaka,48,4,,
345,Vinay Nayaka,61,10,,
346,Kalpana Nayaka,58,1,,
347,Tejaswini Hiremath,26,10,,
348,Zeenath Mallya,41,4,,
349,Bhavya Bhat,58,9,,
350,Pavan Doddamani,20,7,,
351,Vinay Badiger,20,7,,
352,Mahesh Mudaliar,27,9,,
353,Netravati Hadimani,30,2,,
354,Mamatha Doddamani,60,9,,
355,Madhu Kattimani,40,6,,
356,Kalpana Murthy,52,4,,
357,Netravati Khan,21,9,,
358,Nandish Devadiga,36,3,,
359,Kalpana Rao,30,3,,
360,Uday Naik,34,4,,
361,Sahana Doddamani,50,10,,
362,Akshata Acharya,20,10,,
363,Indira Hegde,50,2,,
364,Dinesh Mallya,62,2,,
365,Lalitha Bhat,40,10,,
366,Harish Devadiga,47,3,,
367,Sushma Devadiga,40,8,,
368,Sharath Sharma,63,6,,
369,Ranganath Shanbhag,42,2,,
370,Basavaraj Badiger,54,10,,
371,Pooja Reddy,25,5,,
372,Gayathri Kodagu,30,9,,
373,Divya Salian,35,8,,
374,Geetha Hegde,60,4,,
375,Varun Pujari,40,1,,
376,Zameer Mudaliar,25,5,,
377,Manjunath Sharma,21,1,,
378,Mahesh Shetty,43,5,,
379,Umesh Nayaka,48,6,,
380,Rizwan Acharya,41,7,,
381,Savitha Iyer,59,1,,
382,Ruksana Murthy,31,10,,
383,Rajesh Lamani,35,6,,
384,Sharath Doddamani,34,2,,
385,Yashoda Chavan,57,3,,
386,Mahesh Hiremath,58,1,,
387,Indira Jadhav,50,9,,
388,Mahesh Rao,39,5,,
389,Fatima Kattimani,24,8,,
390,Ramesh Patil,53,3,,
391,Rizwan Angadi,32,4,,
392,Gopal Iyer,32,1,,
393,Prakash Hadimani,47,7,,
394,Sunil Acharya,31,8,,
395,Vani Murthy,46,10,,
396,Nandini Belagavi,43,4,,
397,Latha Kodagu,29,8,,
398,Deepa Mudaliar,31,7,,
399,Gopal Shanbhag,21,1,,
400,Karthik Lamani,24,7,,
401,Akshata Belagavi,22,10,,
402,Bharathi Iyer,52,3,,
403,Rekha Reddy,36,7,,
404,Puneeth Devadiga,42,8,,
405,Sunil Gowda,43,8,,
406,Chetan Bandi,50,6,,
407,Anand Naik,33,9,,
408,Zeenath Bandi,54,6,,
409,Mamatha Mudaliar,26,7,,
410,Sunitha Rao,50,5,,
411,Krishna Nayaka,43,3,,
412,Netravati Shetty,51,2,,
413,Gopal Naik,47,10,,
414,Kavya Hiremath,37,5,,
415,Raghavendra Shetty,48,5,,
416,Lakshmi Pujari,42,5,,
417,Rekha Sharma,27,4,,
418,Sandeep Patil,30,10,,
419,Manjula Angadi,57,7,,
420,Noor Kulkarni,43,9,,
421,Bharathi Bhat,49,4,,
422,Mamatha Shanbhag,51,4,,
423,Anand Shetty,60,5,,
424,Rizwan Mudaliar,27,9,,
425,Madhu Naik,58,7,,
426,Santosh Acharya,45,2,,
427,Chandana Uppar,33,8,,
428,Suresh Kodagu,42,9,,
429,Gayathri Gowda,65,8,,
430,Jyothi Pujari,20,4,,
431,Vidya Pujari,49,5,,
432,Ananya Gowda,63,6,,
433,Ramesh Nayaka,25,5,,
434,Tanveer Kulkarni,39,7,,
435,Shivakumar Bandi,20,5,,
436,Sushma Hegde,23,4,,
437,Ranganath Nayaka,44,8,,
438,Abdul Rai,44,1,,
439,Nagaraj Gowda,37,9,,
440,Sunil Rai,28,9,,
441,Meena Pujari,57,10,,
442,Uma Shanbhag,63,8,,
443,Santosh Bhat,33,5,,
444,Sushma Pujari,61,1,,
445,Rachana Mudaliar,29,8,,
446,Omkar Jadhav,30,8,,
447,Waseem Pujari,29,8,,
448,Ganesh Bandi,21,4,,
449,Madhu Wali,24,7,,
450,Imran Salian,32,6,,
451,Naveen Badiger,60,5,,
452,Triveni Bandi,25,8,,
453,Zeenath Madiwalar,22,5,,
454,Mamatha Talawar,33,6,,
455,Ananya Desai,21,3,,
456,Pavan Salian,37,5,,
457,Sharath Bhat,56,7,,
458,Ayesha Bandi,49,4,,
459,Shwetha Jadhav,39,1,,
460,Umesh Kamath,38,1,,
461,Tejaswini Kulkarni,29,3,,
462,Lakshmi Mudaliar,32,8,,
463,Puneeth Hiremath,64,7,,
464,Kavya Iyer,65,5,,
465,Yashoda Rai,59,3,,
466,Deepika Bhat,46,2,,
467,Chetan Bandi,60,7,,
468,Shivakumar Doddamani,42,2,,
469,Sabiha Bhat,43,8,,
470,Fatima Bhat,61,10,,
471,Mahesh Shanbhag,47,1,,
472,Arun Desai,27,10,,
473,Vidya Kamath,48,4,,
474,Yashoda Chavan,24,5,,
475,Usha Chavan,28,7,,
476,Latha Reddy,38,1,,
477,Chandru Desai,44,4,,
478,Yashoda Patil,21,10,,
479,Harini Belagavi,38,4,,
480,Srinivas Rai,40,6,,
481,Dhanya Bandi,59,3,,
482,Zameer Naik,24,9,,
483,Karthik Uppar,21,7,,
484,Rachana Gaonkar,34,1,,
485,Vijay Rai,54,5,,
486,Girish Pawar,36,5,,
487,Usha Shetty,46,5,,
488,Yogesh Rai,50,10,,
489,Omkar Kulkarni,52,3,,
490,Bhavya Mallya,44,3,,
491,Venkatesh Kodagu,51,3,,
492,Rekha Devadiga,56,2,,
493,Lalitha Gaonkar,22,6,,
494,Santosh Jadhav,44,10,,
495,Sushma Murthy,20,4,,
496,Thimmaiah Gowda,35,5,,
497,Deepika Naik,30,2,,
498,Uma Sharma,21,9,,
499,Nagaraj Sharma,54,3,,
500,Gowramma Nayaka,56,7,,
501,Bhavya Belagavi,56,1,,
502,Divya Jadhav,63,1,,
503,Ayesha Angadi,23,10,,
504,Zameer Mallya,24,1,,
505,Ranganath Acharya,42,5,,
506,Farhan Kamath,54,5,,
507,Rekha Sharma,40,3,,
508,Sahana Naik,64,10,,
509,Sabiha Acharya,40,10,,
510,Tejaswini Reddy,57,9,,
511,Usha Kattimani,39,2,,
512,Nandini Bandi,61,6,,
513,Nagaraj Murthy,57,2,,
514,Lakshmi Rai,44,9,,
515,Zameer Kodagu,39,6,,
516,Vani Hiremath,31,6,,
517,Harish Patil,53,10,,
518,Jagadish Badiger,65,8,,
519,Vijay Lamani,46,7,,
520,Uma Bhat,22,10,,
521,Sunil Mudaliar,45,8,,
522,Bharathi Reddy,49,3,,
523,Lakshmi Talawar,30,6,,
524,Gowramma Iyer,64,3,,
525,Geetha Bandi,29,10,,
526,Deepa Acharya,39,4,,
527,Mohammed Kamath,36,4,,
528,Kavya Kattimani,20,7,,
529,Ganesh Acharya,47,10,,
530,Hemalatha Nayaka,38,2,,
531,Vidya Kodagu,42,5,,
532,Umesh Mallya,38,10,,
533,Varun Salian,64,9,,
534,Kamala Kumar,45,2,,
535,Mahesh Belagavi,41,10,,
536,Yogesh Rai,32,4,,
537,Harini Patil,49,1,,
538,Puneeth Badiger,58,2,,
539,Sabiha Naik,55,3,,
540,Vijay Kumar,37,4,,
541,Akshata Kumar,48,4,,
542,Pavan Kodagu,36,2,,
543,Pallavi Badiger,48,6,,
544,Mahesh Iyer,52,3,,
545,Santosh Reddy,55,8,,
546,Roopa Devadiga,55,10,,
547,Roopa Naik,21,2,,
548,Deepa Desai,25,5,,
549,Zameer Belagavi,57,3,,
550,Gayathri Kodagu,47,10,,
551,Kamala Gowda,38,4,,
552,Ramesh Mallya,52,5,,
553,Noor Pujari,35,2,,
554,Deepika Badiger,61,8,,
555,Reshma Wali,62,7,,
556,Hanumantha Kamath,45,2,,
557,Kiran Angadi,64,7,,
558,Srinivas Uppar,65,2,,
559,Sandeep Hadimani,51,3,,
560,Sharath Kamath,42,2,,
561,Vijay Mudaliar,49,3,,
562,Zeenath Chavan,25,9,,
563,Abdul Sharma,27,2,,
564,Madhu Madiwalar,42,9,,
565,Vinay Jadhav,38,2,,
566,Lalitha Hadimani,51,10,,
567,Roopa Mudaliar,20,4,,
568,Pooja Nayaka,50,6,,
569,Meena Kulkarni,65,4,,
570,Rajesh Kumar,55,2,,
571,Vani Gowda,31,6,,
572,Srinivas Shanbhag,54,6,,
573,Ishwarya Uppar,49,8,,
574,Pavan Gaonkar,23,8,,
575,Farhan Iyer,42,8,,
576,Mohammed Madiwalar,63,10,,
577,Rachana Wali,32,1,,
578,Anil Patil,51,8,,
579,Noor Shanbhag,46,9,,
580,Rekha Kodagu,35,6,,
581,Rizwan Kulkarni,59,9,,
582,Sahana Pawar,34,6,,
583,Netravati Talawar,26,7,,
584,Sahana Khan,64,2,,
585,Rachana Belagavi,43,7,,
586,Gayathri Iyer,25,4,,
587,Tanveer Lamani,22,1,,
588,Imran Devadiga,57,7,,
589,Zeenath Bhat,37,2,,
590,Lalitha Hiremath,35,1,,
591,Yashoda Sharma,25,9,,
592,Raghavendra Doddamani,34,4,,
593,Sharath Acharya,39,9,,
594,Mahesh Lamani,61,2,,
595,Sahana Kattimani,23,7,,
596,Bhavya Devadiga,22,5,,
597,Praveen Khan,48,8,,
598,Lohith Mudaliar,52,3,,
599,Triveni Reddy,50,9,,
600,Rekha Gaonkar,23,10,,
601,Dhanya Murthy,26,10,,
602,Chandana Hegde,60,10,,
603,Santosh Angadi,61,1,,
604,Chetan Kumar,32,1,,
605,Tanveer Gowda,64,3,,
606,Anil Hegde,30,2,,
607,Puneeth Badiger,46,10,,
608,Imran Kumar,57,5,,
609,Varun Kattimani,61,9,,
610,Vani Acharya,64,9,,
611,Umesh Hadimani,42,3,,
612,Vidya Hadimani,55,9,,
613,Tejaswini Hiremath,58,10,,
614,Kiran Pawar,60,10,,
615,Ayesha Shanbhag,51,1,,
616,Sabiha Devadiga,22,4,,
617,Shwetha Pawar,65,7,,
618,Chetan Chavan,60,10,,
619,Jagadish Shetty,36,1,,
620,Ruksana Shanbhag,36,4,,
621,Zeenath Doddamani,27,6,,
622,Nithin Khan,30,2,,
623,Anitha Kulkarni,46,7,,
624,Deepika Mallya,29,1,,
625,Ramesh Doddamani,52,8,,
626,Anand Salian,47,6,,
627,Tejaswini Doddamani,27,10,,
628,Harish Bandi,30,2,,
629,Vani Salian,37,5,,
630,Akshata Rao,53,6,,
631,Dhanya Mallya,46,9,,
632,Nandini Naik,22,6,,
633,Dinesh Belagavi,36,8,,
634,Yashoda Chavan,39,2,,
635,Anil Naik,21,6,,
636,Divya Wali,38,8,,
637,Gowramma Rao,54,8,,
638,Jagadish Kumar,53,10,,
639,Santosh Kodagu,33,3,,
640,Thimmaiah Bandi,56,7,,
641,Uday Desai,40,3,,
642,Devaraj Nayaka,26,7,,
643,Sabiha Lamani,58,2,,
644,Venkatesh Belagavi,36,3,,
645,Ganesh Patil,58,1,,
646,Ishwarya Sharma,46,1,,
647,Balaji Hiremath,33,10,,
648,Varun Kattimani,37,10,,
649,Bhavya Bandi,26,7,,
650,Deepa Pawar,64,4,,
651,Deepika Doddamani,23,7,,
652,Mamatha Lamani,54,5,,
653,Chaitra Murthy,60,6,,
654,Tanveer Mallya,39,4,,
655,Tejaswini Reddy,62,9,,
656,Abdul Talawar,61,2,,
657,Mahesh Nayaka,47,5,,
658,Chandana Talawar,21,1,,
659,Ranganath Lamani,43,8,,
660,Suresh Gaonkar,60,6,,
661,Yashwanth Devadiga,48,6,,
662,Netravati Rai,43,5,,
663,Manjula Bandi,61,10,,
664,Rekha Bandi,38,5,,
665,Thimmaiah Bhat,33,3,,
666,Akshata Suvarna,43,1,,
667,Kalpana Pujari,51,3,,
668,Dinesh Nayaka,62,7,,
669,Sandeep Chavan,24,6,,
670,Uma Angadi,24,8,,
671,Tejaswini Reddy,61,10,,
672,Darshan Shanbhag,44,8,,
673,Reshma Hiremath,40,9,,
674,Darshan Shetty,56,8,,
675,Sushma Acharya,23,5,,
676,Bhavya Doddamani,40,1,,
677,Triveni Nayaka,35,4,,
678,Dinesh Kulkarni,41,8,,
679,Chandru Mudaliar,36,8,,
680,Hemalatha Hegde,20,1,,
681,Yogesh Suvarna,20,8,,
682,Yogesh Sharma,44,2,,
683,Tanveer Shanbhag,37,3,,
684,Netravati Angadi,30,1,,
685,Mahesh Uppar,22,3,,
686,Ranganath Pujari,37,1,,
687,Zeenath Reddy,39,9,,
688,Venkatesh Lamani,27,10,,
689,Meena Patil,48,5,,
690,Krishna Iyer,23,6,,
691,Rachana Uppar,61,5,,
692,Puneeth Mallya,54,7,,
693,Jyothi Acharya,56,6,,
694,Basavaraj Madiwalar,26,3,,
695,Usha Gaonkar,41,3,,
696,Kavya Kumar,48,5,,
697,Indira Pawar,36,6,,
698,Tejaswini Wali,34,7,,
699,Naveen Khan,33,3,,
700,Sunitha Naik,64,1,,
701,Kiran Uppar,61,9,,
702,Sushma Mallya,34,8,,
703,Santosh Iyer,55,3,,
704,Jagadish Sharma,27,5,,
705,Pallavi Acharya,59,2,,
706,Deepa Patil,27,9,,
707,Vinay Hegde,35,10,,
708,Jagadish Shetty,43,1,,
709,Indira Hiremath,28,9,,
710,Gayathri Hegde,38,9,,
711,Pooja Wali,64,3,,
712,Vidya Angadi,56,3,,
713,Madhu Kamath,64,2,,
714,Savitha Gowda,65,7,,
715,Deepa Jadhav,60,9,,
716,Harish Nayaka,55,1,,
717,Praveen Desai,34,9,,
718,Ramesh Rai,63,8,,
719,Ranganath Angadi,61,6,,
720,Lalitha Kulkarni,60,7,,
721,Vijay Sharma,49,2,,
722,Latha Salian,52,9,,
723,Waseem Shanbhag,40,10,,
724,Abdul Bhat,48,8,,
725,Anil Jadhav,48,4,,
726,Rajesh Pawar,37,4,,
727,Naveen Patil,28,7,,
728,Zameer Gowda,60,2,,
729,Lakshmi Murthy,42,8,,
730,Lakshmi Kumar,32,1,,
731,Rajesh Pujari,53,2,,
732,Dinesh Kodagu,44,9,,
733,Santosh Mudaliar,57,6,,
734,Madhu Rao,51,5,,
735,Eshwar Naik,32,8,,
736,Latha Hadimani,52,6,,
737,Sabiha Jadhav,62,10,,
738,Pavan Reddy,21,6,,
739,Zeenath Pujari,54,4,,
740,Anand Rao,48,5,,
741,Suresh Jadhav,45,1,,
742,Ayesha Hegde,36,1,,
743,Ishwarya Uppar,21,10,,
744,Nandish Mallya,49,5,,
745,Zeenath Patil,34,3,,
746,Ravi Chavan,57,10,,
747,Rekha Khan,54,10,,
748,Tanveer Sharma,47,10,,
749,Ananya Bhat,43,10,,
750,Praveen Hadimani,55,6,,
751,Rekha Rai,42,9,,
752,Pavan Gaonkar,52,1,,
753,Bharathi Badiger,48,6,,
754,Dhanya Shetty,32,5,,
755,Manjunath Naik,40,5,,
756,Hanumantha Jadhav,23,2,,
757,Gowramma Patil,22,7,,
758,Rachana Pujari,27,10,,
759,Kalpana Mudaliar,45,8,,
760,Geetha Reddy,27,6,,
761,Kamala Hiremath,38,1,,
762,Ganesh Shanbhag,33,1,,
763,Suresh Gowda,45,4,,
764,Zeenath Gowda,59,8,,
765,Vidya Patil,31,7,,
766,Dhanya Devadiga,48,8,,
767,Manjunath Khan,43,1,,
768,Ravi Hiremath,28,2,,
769,Arun Mudaliar,52,6,,
770,Rajesh Kodagu,54,10,,
771,Vani Hiremath,63,5,,
772,Divya Sharma,50,9,,
773,Ganesh Desai,33,2,,
774,Devaraj Patil,44,9,,
775,Ayesha Hadimani,52,4,,
776,Deepika Bandi,55,8,,
777,Chaitra Wali,41,9,,
778,Shivakumar Lamani,55,6,,
779,Manjula Sharma,64,5,,
780,Vinay Acharya,22,5,,
781,Salman Kamath,60,8,,
782,Vijay Iyer,48,6,,
783,Rachana Mudaliar,52,7,,
784,Deepa Kamath,26,4,,
785,Shwetha Nayaka,51,7,,
786,Sushma Acharya,54,7,,
787,Praveen Jadhav,27,4,,
788,Netravati Desai,62,3,,
789,Padma Kulkarni,27,2,,
790,Ravi Lamani,61,7,,
791,Suresh Devadiga,55,6,,
