CaseMasterID,VictimName,AgeYear,GenderID
236,Gowramma Talawar,31,F
236,Ruksana Nayaka,41,F
238,Yashoda Chavan,33,F
238,Suresh Rao,31,M
241,Usha Salian,24,F
242,Salman Pawar,58,M
243,Arun Lamani,25,M
244,Kalpana Hadimani,30,F
244,Pavan Shetty,63,M
246,Umesh Jadhav,47,M
246,Sushma Madiwalar,34,F
247,Chaitra Desai,16,F
247,Ishwarya Wali,27,F
249,Nithin Mudaliar,65,M
249,Anitha Nayaka,52,F
250,Prakash Belagavi,46,M
250,Bindu Shanbhag,69,F
252,Kamala Uppar,48,F
253,Kiran Salian,56,M
253,Nandini Madiwalar,27,F
254,Rekha Sharma,22,F
254,Shwetha Patil,43,F
255,Ranganath Lamani,46,M
256,Reshma Belagavi,63,F
256,Kiran Wali,50,M
259,Rekha Desai,33,F
261,Netravati Mallya,66,F
261,Raghavendra Gaonkar,58,M
263,Lakshmi Kodagu,69,F
263,Sabiha Angadi,61,F
264,Sandeep Kamath,24,M
264,Naveen Mallya,55,M
266,Vinay Angadi,51,M
266,Nandini Madiwalar,55,F
268,Bharathi Salian,50,F
268,Prakash Kulkarni,52,M
269,Gowramma Uppar,60,F
269,Rizwan Chavan,34,M
270,Gopal Devadiga,29,M
270,Eshwar Mudaliar,62,M
272,Chandana Murthy,40,F
272,Abdul Rao,66,M
273,Yashwanth Angadi,38,M
273,Chandru Angadi,54,M
276,Sabiha Reddy,34,F
276,Prakash Wali,41,M
277,Ayesha Gaonkar,40,F
277,Pallavi Talawar,29,F
278,Abdul Madiwalar,48,M
279,Roopa Shanbhag,70,F
279,Ranganath Rao,34,M
282,Zeenath Iyer,57,F
282,Mahesh Jadhav,26,M
284,Rajesh Devadiga,28,M
284,Reshma Murthy,48,F
285,Umesh Desai,69,M
285,Nagaraj Bandi,28,M
289,Gowramma Suvarna,50,F
289,Sharath Hegde,62,M
291,Lalitha Suvarna,28,F
291,Venkatesh Murthy,38,M
297,Sharath Devadiga,44,M
297,Madhu Gowda,25,M
298,Noor Patil,51,F
299,Usha Talawar,32,F
299,Sharath Kumar,52,M
300,Rizwan Hegde,30,M
300,Lokesh Kumar,17,M
302,Akshata Rao,33,F
303,Kamala Angadi,32,F
303,Yashoda Hadimani,23,F
304,Indira Iyer,47,F
304,Reshma Angadi,29,F
305,Darshan Kulkarni,32,M
305,Kavya Desai,36,F
306,Dhanya Reddy,53,F
306,Geetha Acharya,46,F
307,Chandru Naik,62,M
307,Imran Gowda,62,M
308,Balaji Jadhav,46,M
309,Umesh Acharya,38,M
309,Srinivas Kattimani,63,M
310,Harish Kamath,51,M
310,Zameer Kamath,29,M
311,Nandish Hiremath,43,M
311,Tanveer Patil,66,M
314,Santosh Kamath,21,M
316,Dinesh Rao,27,M
319,Lohith Bandi,59,M
321,Padma Reddy,53,F
321,Kiran Suvarna,69,M
322,Sushma Uppar,37,F
323,Savitha Khan,64,F
324,Sunitha Mallya,57,F
325,Akshata Kulkarni,67,F
329,Abdul Patil,46,M
330,Puneeth Hiremath,34,M
331,Lakshmi Bandi,48,F
331,Praveen Kamath,59,M
332,Divya Suvarna,53,F
332,Devaraj Hiremath,32,M
334,Mohammed Kattimani,55,M
334,Vani Uppar,68,F
335,Madhu Chavan,31,M
336,Meena Khan,29,F
336,Manjula Kattimani,59,F
337,Dhanya Angadi,21,F
337,Jyothi Kumar,41,F
338,Netravati Sharma,18,F
338,Ananya Mudaliar,66,F
339,Zameer Patil,36,M
342,Arun Uppar,62,M
342,Bharathi Bandi,18,F
344,Bindu Desai,19,F
344,Tejaswini Sharma,31,F
346,Manjula Lamani,68,F
347,Tanveer Jadhav,23,M
348,Sahana Mallya,20,F
348,Harish Pujari,61,M
349,Mahesh Badiger,27,M
349,Vidya Madiwalar,46,F
352,Manjula Murthy,32,F
352,Yashwanth Gaonkar,23,M
354,Waseem Shetty,40,M
356,Santosh Chavan,43,M
358,Latha Bandi,70,F
358,Girish Uppar,54,M
359,Dhanya Salian,49,F
360,Arun Jadhav,48,M
361,Vidya Chavan,67,F
361,Reshma Khan,34,F
362,Uday Angadi,21,M
365,Fatima Belagavi,26,F
367,Dinesh Doddamani,59,M
369,Bharathi Lamani,62,F
370,Anand Shetty,60,M
370,Praveen Pujari,44,M
371,Lakshmi Khan,50,F
371,Deepa Jadhav,54,F
372,Yogesh Patil,30,M
372,Meena Naik,52,F
376,Sushma Suvarna,65,F
377,Jyothi Reddy,63,F
377,Netravati Angadi,25,F
378,Vani Doddamani,67,F
383,Shivakumar Badiger,36,M
383,Ishwarya Acharya,56,F
384,Girish Madiwalar,65,M
384,Lokesh Khan,25,M
385,Indira Khan,59,F
386,Pavan Hiremath,69,M
386,Santosh Reddy,56,M
388,Roopa Shanbhag,57,F
389,Farhan Rao,25,M
389,Basavaraj Talawar,24,M
390,Kiran Gowda,58,M
391,Pooja Murthy,61,F
391,Vani Hiremath,41,F
392,Vijay Gaonkar,16,M
397,Rajesh Khan,60,M
399,Gowramma Iyer,60,F
400,Thimmaiah Salian,45,M
401,Puneeth Pawar,16,M
401,Mahesh Murthy,41,M
402,Gopal Kamath,40,M
402,Suresh Uppar,61,M
403,Girish Salian,46,M
403,Lalitha Belagavi,26,F
404,Bhavya Uppar,53,F
406,Naveen Gaonkar,29,M
406,Lokesh Naik,39,M
407,Deepa Kodagu,52,F
408,Sunitha Pawar,66,F
408,Noor Lamani,57,F
409,Hanumantha Hiremath,35,M
412,Usha Desai,39,F
412,Deepa Chavan,36,F
413,Tejaswini Reddy,18,F
415,Gopal Belagavi,55,M
417,Ayesha Uppar,47,F
417,Nandini Hiremath,38,F
418,Gowramma Sharma,69,F
419,Pallavi Iyer,51,F
421,Nandini Patil,53,F
423,Sushma Khan,47,F
423,Praveen Bandi,53,M
424,Gowramma Mudaliar,39,F
424,Sandeep Kamath,60,M
425,Thimmaiah Rao,27,M
427,Lakshmi Wali,64,F
428,Imran Mudaliar,20,M
428,Manjula Gowda,56,F
429,Meena Kulkarni,60,F
431,Naveen Hadimani,70,M
432,Varun Mudaliar,62,M
432,Ravi Doddamani,17,M
439,Lokesh Wali,49,M
439,Noor Belagavi,38,F
441,Ruksana Jadhav,32,F
442,Umesh Belagavi,18,M
442,Gowramma Shetty,19,F
443,Harini Shetty,35,F
443,Latha Bhat,32,F
445,Uday Kattimani,52,M
447,Deepa Hegde,63,F
451,Ishwarya Suvarna,67,F
451,Lokesh Hadimani,56,M
454,Triveni Kumar,51,F
454,Savitha Patil,26,F
455,Puneeth Hegde,57,M
456,Varun Gaonkar,18,M
456,Geetha Rai,69,F
459,Vani Badiger,25,F
459,Ramesh Hiremath,52,M
461,Vinay Rai,51,M
464,Abdul Lamani,43,M
464,Gayathri Pujari,67,F
468,Nandini Mallya,57,F
468,Sharath Kattimani,53,M
470,Ruksana Rao,62,F
470,Mamatha Reddy,49,F
471,Geetha Shetty,40,F
472,Chandru Hadimani,62,M
472,Ananya Kattimani,53,F
473,Savitha Khan,43,F
473,Prakash Mudaliar,56,M
475,Vani Gaonkar,36,F
476,Arun Madiwalar,27,M
476,Harini Bhat,37,F
479,Nandini Hadimani,38,F
480,Gayathri Naik,57,F
481,Chandana Sharma,47,F
485,Roopa Doddamani,43,F
486,Anitha Hadimani,69,F
486,Venkatesh Chavan,25,M
487,Sunil Kattimani,49,M
488,Anil Shetty,35,M
488,Meena Devadiga,67,F
489,Shivakumar Doddamani,34,M
489,Tanveer Kodagu,63,M
490,Bindu Hegde,36,F
492,Omkar Shetty,48,M
493,Eshwar Mallya,32,M
494,Rekha Pawar,60,F
494,Srinivas Patil,54,M
496,Naveen Khan,17,M
499,Mohammed Naik,56,M
501,Noor Acharya,58,F
501,Tejaswini Kulkarni,16,F
502,Deepa Gowda,26,F
504,Sharath Desai,33,M
506,Mahesh Mudaliar,42,M
507,Harish Mallya,36,M
508,Basavaraj Hadimani,31,M
509,Vidya Bandi,18,F
509,Geetha Mudaliar,63,F
510,Manjula Talawar,42,F
511,Roopa Desai,43,F
512,Lakshmi Talawar,42,F
512,Rajesh Kulkarni,53,M
513,Venkatesh Shanbhag,66,M
514,Mahesh Shetty,26,M
515,Sunitha Desai,47,F
515,Dinesh Kattimani,45,M
517,Yashoda Kumar,68,F
520,Deepa Patil,20,F
521,Yashoda Desai,16,F
522,Shivakumar Reddy,42,M
523,Pallavi Madiwalar,39,F
523,Usha Pujari,34,F
524,Shwetha Hiremath,41,F
524,Nandini Salian,29,F
525,Vinay Bandi,35,M
526,Praveen Gowda,61,M
526,Ruksana Sharma,67,F
528,Omkar Reddy,46,M
529,Srinivas Uppar,39,M
530,Nandini Kumar,60,F
532,Manjula Chavan,50,F
532,Nandini Doddamani,20,F
533,Salman Hiremath,17,M
536,Ranganath Hiremath,58,M
536,Gopal Desai,44,M
537,Vijay Pujari,25,M
538,Fatima Lamani,39,F
540,Balaji Madiwalar,49,M
540,Ishwarya Bhat,52,F
542,Manjunath Kattimani,65,M
544,Gopal Kumar,50,M
544,Anil Acharya,63,M
546,Suresh Wali,49,M
549,Rajesh Chavan,48,M
549,Thimmaiah Hadimani,61,M
551,Sushma Bhat,16,F
553,Hanumantha Madiwalar,36,M
553,Kamala Nayaka,32,F
554,Waseem Chavan,64,M
556,Basavaraj Kumar,70,M
556,Suresh Khan,61,M
557,Mahesh Kumar,31,M
557,Chandana Murthy,31,F
558,Varun Bhat,61,M
558,Meena Jadhav,53,F
561,Latha Talawar,16,F
562,Gayathri Nayaka,39,F
562,Triveni Devadiga,70,F
566,Rachana Shanbhag,48,F
566,Ruksana Patil,61,F
567,Gayathri Gaonkar,49,F
567,Hanumantha Rao,41,M
568,Indira Kattimani,32,F
568,Noor Badiger,57,F
569,Vijay Bandi,68,M
569,Sunil Rai,41,M
570,Sandeep Chavan,51,M
570,Mahesh Kumar,44,M
571,Pallavi Rao,70,F
572,Zeenath Gaonkar,59,F
572,Bhavya Iyer,48,F
574,Mohammed Shetty,46,M
575,Omkar Mudaliar,42,M
575,Indira Uppar,56,F
578,Praveen Rai,58,M
578,Srinivas Shetty,38,M
579,Gayathri Gaonkar,39,F
579,Varun Talawar,52,M
581,Farhan Nayaka,63,M
581,Sunil Mudaliar,55,M
582,Triveni Wali,47,F
583,Tanveer Kodagu,49,M
583,Bindu Kumar,20,F
585,Pooja Desai,63,F
586,Nandini Wali,59,F
586,Nandish Doddamani,46,M
588,Vani Patil,29,F
591,Pooja Rai,27,F
592,Noor Naik,32,F
592,Sushma Murthy,35,F
593,Anand Madiwalar,29,M
593,Nandish Naik,58,M
595,Roopa Badiger,70,F
596,Bhavya Acharya,27,F
598,Jyothi Pawar,24,F
598,Lakshmi Shetty,59,F
599,Thimmaiah Pujari,33,M
601,Jyothi Kamath,66,F
601,Kavya Kodagu,19,F
603,Mamatha Bhat,36,F
604,Zeenath Kodagu,59,F
604,Bindu Salian,44,F
605,Santosh Kamath,27,M
605,Eshwar Nayaka,54,M
607,Bhavya Devadiga,27,F
607,Zeenath Uppar,18,F
610,Sunitha Angadi,29,F
612,Anil Madiwalar,22,M
612,Vidya Nayaka,50,F
613,Geetha Chavan,66,F
613,Yashwanth Bandi,18,M
614,Abdul Angadi,42,M
616,Prakash Patil,35,M
617,Anil Khan,64,M
619,Eshwar Suvarna,31,M
622,Ishwarya Lamani,43,F
622,Hanumantha Angadi,55,M
624,Karthik Madiwalar,68,M
624,Padma Sharma,29,F
625,Vijay Shetty,63,M
625,Venkatesh Reddy,59,M
626,Pooja Hiremath,31,F
627,Indira Shetty,25,F
629,Nandish Madiwalar,34,M
629,Shwetha Madiwalar,20,F
630,Sharath Salian,64,M
631,Balaji Hegde,52,M
631,Uma Angadi,26,F
633,Srinivas Bandi,45,M
635,Nagaraj Patil,67,M
635,Srinivas Suvarna,26,M
637,Waseem Pawar,37,M
639,Pooja Belagavi,49,F
640,Basavaraj Kumar,24,M
640,Hemalatha Hadimani,34,F
641,Kalpana Mudaliar,41,F
641,Shwetha Rao,16,F
644,Puneeth Madiwalar,47,M
644,Padma Desai,69,F
645,Rachana Gaonkar,22,F
647,Gowramma Madiwalar,58,F
648,Balaji Wali,58,M
649,Vani Talawar,40,F
649,Usha Angadi,41,F
652,Ramesh Doddamani,66,M
652,Mahesh Suvarna,36,M
653,Kamala Hadimani,67,F
654,Prakash Bandi,62,M
656,Gopal Kumar,59,M
658,Girish Bhat,63,M
659,Balaji Uppar,52,M
661,Lalitha Khan,24,F
662,Bindu Desai,34,F
663,Naveen Pujari,70,M
663,Varun Kamath,63,M
666,Gopal Mudaliar,40,M
670,Lalitha Badiger,36,F
670,Bharathi Madiwalar,50,F
671,Nithin Lamani,21,M
672,Vidya Kamath,22,F
672,Chandru Iyer,54,M
673,Varun Kamath,26,M
674,Krishna Jadhav,53,M
674,Divya Pujari,25,F
675,Savitha Pujari,39,F
675,Indira Angadi,33,F
676,Sharath Shetty,30,M
676,Vinay Hadimani,50,M
678,Balaji Shetty,69,M
681,Farhan Shanbhag,51,M
681,Uday Mudaliar,29,M
682,Manjula Salian,52,F
682,Krishna Kulkarni,66,M
684,Latha Doddamani,66,F
684,Ravi Iyer,19,M
686,Praveen Badiger,21,M
686,Netravati Belagavi,47,F
687,Eshwar Hadimani,29,M
688,Savitha Kulkarni,43,F
690,Kalpana Bandi,30,F
690,Basavaraj Mallya,49,M
694,Kalpana Pawar,48,F
695,Gowramma Rai,18,F
696,Hemalatha Acharya,43,F
696,Rajesh Bandi,47,M
697,Salman Angadi,46,M
699,Ranganath Khan,43,M
701,Imran Chavan,16,M
706,Mahesh Mallya,69,M
707,Pallavi Talawar,59,F
707,Santosh Kamath,40,M
709,Mamatha Kulkarni,70,F
710,Noor Lamani,23,F
710,Gopal Kodagu,58,M
711,Lalitha Shanbhag,33,F
711,Lohith Shanbhag,34,M
714,Prakash Pawar,41,M
715,Dhanya Kodagu,47,F
715,Rachana Pujari,23,F
717,Umesh Bandi,26,M
717,Ayesha Mallya,65,F
718,Lalitha Hegde,54,F
719,Eshwar Kamath,31,M
720,Sharath Mallya,63,M
721,Ishwarya Reddy,51,F
721,Karthik Iyer,52,M
722,Rachana Khan,37,F
723,Manjula Hiremath,16,F
725,Shivakumar Bandi,43,M
725,Nithin Naik,31,M
726,Lalitha Shetty,22,F
727,Indira Desai,16,F
729,Uday Pawar,30,M
729,Latha Mudaliar,40,F
730,Bindu Gowda,59,F
731,Ishwarya Suvarna,61,F
731,Lohith Reddy,57,M
733,Tanveer Desai,33,M
735,Karthik Uppar,55,M
735,Hemalatha Nayaka,36,F
739,Sharath Sharma,65,M
741,Deepa Pawar,45,F
741,Bindu Sharma,46,F
742,Ayesha Suvarna,24,F
746,Roopa Sharma,17,F
747,Bhavya Iyer,26,F
747,Ananya Acharya,44,F
748,Vani Khan,55,F
748,Usha Hadimani,30,F
750,Bindu Hegde,64,F
751,Kiran Hiremath,22,M
751,Zeenath Shetty,32,F
752,Rekha Desai,19,F
753,Chandru Rao,39,M
753,Gayathri Angadi,18,F
754,Basavaraj Naik,59,M
754,Pallavi Bhat,29,F
755,Nithin Bandi,34,M
756,Sunitha Hadimani,34,F
757,Varun Uppar,27,M
760,Harish Naik,56,M
760,Basavaraj Rai,25,M
761,Rachana Shanbhag,37,F
762,Latha Angadi,42,F
762,Uma Murthy,69,F
763,Srinivas Doddamani,55,M
763,Manjula Hegde,32,F
764,Zameer Salian,41,M
766,Uma Iyer,24,F
766,Tanveer Pawar,64,M
767,Jyothi Uppar,20,F
767,Ganesh Kulkarni,37,M
769,Rizwan Lamani,69,M
769,Nagaraj Devadiga,29,M
772,Tanveer Rai,18,M
775,Sandeep Shanbhag,45,M
775,Ishwarya Patil,29,F
776,Shwetha Pawar,59,F
776,Salman Lamani,20,M
777,Mohammed Rao,64,M
779,Uday Mudaliar,38,M
779,Darshan Devadiga,62,M
780,Raghavendra Jadhav,61,M
784,Kiran Hadimani,42,M
784,Basavaraj Uppar,57,M
785,Venkatesh Salian,52,M
787,Vani Devadiga,27,F
788,Kamala Jadhav,26,F
788,Geetha Madiwalar,52,F
789,Sharath Doddamani,48,M
790,Omkar Iyer,40,M
790,Gowramma Kodagu,69,F
793,Lakshmi Wali,54,F
793,Imran Rai,41,M
795,Salman Chavan,40,M
795,Manjula Doddamani,67,F
796,Basavaraj Nayaka,67,M
796,Waseem Mudaliar,22,M
798,Lokesh Bandi,42,M
798,Sabiha Kulkarni,55,F
799,Zeenath Mudaliar,31,F
799,Reshma Lamani,68,F
803,Vani Kumar,32,F
804,Uma Nayaka,50,F
805,Ananya Bhat,16,F
805,Kavya Acharya,55,F
807,Chandana Kattimani,38,F
807,Balaji Pawar,43,M
808,Farhan Kulkarni,48,M
808,Eshwar Jadhav,56,M
809,Balaji Reddy,25,M
809,Geetha Lamani,19,F
810,Zeenath Kulkarni,34,F
811,Ananya Gaonkar,20,F
813,Rekha Bandi,28,F
814,Savitha Talawar,31,F
814,Reshma Belagavi,16,F
815,Deepa Pujari,42,F
815,Sabiha Gowda,58,F
816,Vani Doddamani,62,F
817,Shwetha Nayaka,62,F
818,Manjula Lamani,69,F
818,Sahana Shetty,43,F
819,Santosh Madiwalar,36,M
819,Umesh Mallya,69,M
825,Abdul Acharya,21,M
825,Sushma Gaonkar,36,F
828,Vijay Chavan,50,M
829,Rachana Pujari,26,F
830,Dhanya Belagavi,47,F
831,Dhanya Rai,63,F
833,Lalitha Bhat,17,F
833,Gopal Belagavi,35,M
834,Vani Shetty,21,F
834,Deepika Acharya,24,F
835,Yashoda Uppar,29,F
836,Harish Madiwalar,49,M
837,Puneeth Murthy,67,M
838,Yashwanth Uppar,34,M
838,Shivakumar Madiwalar,69,M
839,Nithin Angadi,42,M
841,Deepa Mallya,19,F
842,Arun Nayaka,21,M
842,Ruksana Pujari,63,F
843,Yogesh Pawar,69,M
844,Vidya Rao,25,F
846,Indira Murthy,50,F
847,Akshata Acharya,65,F
847,Balaji Shanbhag,16,M
849,Ravi Sharma,20,M
851,Dinesh Patil,56,M
851,Vinay Kattimani,25,M
854,Sunitha Badiger,41,F
855,Nagaraj Kamath,66,M
855,Deepa Chavan,59,F
857,Sunil Devadiga,31,M
857,Rachana Gowda,62,F
859,Jagadish Pujari,64,M
860,Yogesh Mallya,62,M
861,Balaji Kulkarni,19,M
861,Divya Mudaliar,39,F
862,Chaitra Reddy,47,F
863,Usha Pawar,50,F
863,Indira Mudaliar,34,F
865,Santosh Mudaliar,53,M
867,Devaraj Rai,69,M
867,Sushma Bhat,47,F
868,Fatima Patil,54,F
869,Santosh Gaonkar,70,M
869,Ishwarya Kattimani,55,F
871,Usha Kulkarni,35,F
871,Abdul Lamani,25,M
873,Sharath Pawar,41,M
873,Ayesha Pawar,58,F
875,Bharathi Kattimani,40,F
875,Anitha Wali,38,F
876,Hanumantha Desai,32,M
876,Indira Mudaliar,67,F
877,Yashoda Mallya,65,F
877,Dinesh Mallya,36,M
878,Srinivas Gaonkar,43,M
878,Lohith Talawar,16,M
880,Chetan Iyer,25,M
882,Vijay Kodagu,27,M
884,Ravi Madiwalar,38,M
885,Pallavi Lamani,59,F
885,Karthik Uppar,16,M
886,Karthik Bhat,24,M
886,Usha Rao,58,F
887,Salman Salian,52,M
888,Puneeth Hegde,24,M
888,Gowramma Badiger,54,F
889,Pavan Bhat,59,M
891,Eshwar Devadiga,41,M
892,Ganesh Hadimani,62,M
892,Puneeth Murthy,24,M
893,Sabiha Hiremath,54,F
897,Manjunath Hadimani,24,M
898,Basavaraj Murthy,50,M
898,Krishna Pujari,25,M
899,Zeenath Bhat,69,F
899,Gayathri Kumar,24,F
900,Geetha Shetty,40,F
900,Dinesh Wali,57,M
902,Krishna Badiger,54,M
902,Arun Jadhav,53,M
904,Zameer Murthy,59,M
904,Mohammed Nayaka,30,M
905,Noor Shanbhag,47,F
905,Pooja Iyer,29,F
906,Sunil Shanbhag,22,M
906,Santosh Pujari,17,M
907,Basavaraj Kamath,24,M
907,Bindu Rao,39,F
908,Devaraj Kulkarni,38,M
908,Pavan Hegde,40,M
912,Ayesha Uppar,62,F
912,Shwetha Kodagu,51,F
913,Uma Desai,69,F
914,Praveen Lamani,28,M
916,Divya Iyer,20,F
916,Deepa Shanbhag,25,F
917,Roopa Naik,62,F
918,Shwetha Iyer,17,F
918,Chandru Pawar,64,M
920,Eshwar Jadhav,22,M
921,Hemalatha Nayaka,66,F
921,Lokesh Shetty,21,M
922,Chaitra Madiwalar,25,F
924,Srinivas Mudaliar,70,M
924,Madhu Uppar,31,M
925,Kiran Khan,49,M
925,Arun Angadi,44,M
927,Vijay Kodagu,56,M
928,Vijay Desai,70,M
929,Chaitra Jadhav,30,F
929,Chetan Nayaka,22,M
932,Salman Badiger,42,M
933,Rekha Rai,37,F
935,Pavan Kodagu,64,M
935,Santosh Patil,29,M
936,Basavaraj Kodagu,35,M
936,Hemalatha Rai,36,F
937,Lakshmi Mallya,24,F
937,Sunil Wali,24,M
938,Omkar Hiremath,24,M
938,Gowramma Rao,32,F
940,Noor Khan,41,F
