AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,FatherName,PersonID
95,89,Girish Mudaliar,26,M,Ravi,A1
96,90,Lalitha Suvarna,22,F,,A1
97,91,Suresh Gaonkar,23,M,,A1
98,92,Santosh Uppar,34,M,Santosh,A1
99,93,Ramesh Malya,30,M,Santosh,A1
100,94,Venkatesh Kattimani,49,M,,A1
101,95,Shivakumar Uppar,41,M,Vinay,A1
102,96,Umesh Badiger,21,M,Mahesh,A1
103,97,Girish Muthy,45,M,S.,A1
104,98,Eshwar Pawar,50,M,Nagaraj,A1
105,99,Usha Lamani,42,F,,A1
106,100,Suresh Gaonkar,29,M,Vinay,A1
107,101,Krishna Chavan,52,M,Salman,A1
108,102,Salman Uppar,22,M,Vinay,A1
109,103,Venkatesh Angadi,35,M,Ganesh,A1
110,104,Chandru Sharma,32,M,,A1
111,105,Deepa Shanbhag,51,F,Umesh,A1
112,106,Praveen Gaonkar,40,M,Darshan,A1
113,107,Girish Chavan,27,M,Prakash,A1
114,108,Abdul Reddy,26,M,Shivakumar,A1
115,109,Akshata Suvarna,21,F,Ranganath,A1
116,110,Karthik Talawar,41,M,,A1
117,111,Abdul Kumar,41,M,Eshwar,A1
118,112,Santosh Devadiga,43,M,Ganesh,A1
119,113,Girish Nayka,22,M,Ravi,A1
120,114,Devaraj Patil,38,M,Darshan,A1
121,115,Lohith Kumar,51,M,Girish,A1
122,116,Vinay Lamani,24,M,Darshan,A1
123,117,Madhu Khan,18,M,Arun,A1
124,118,Kiran Kulkarni,38,M,Sandeep,A1
125,119,Venkatesh Salian,27,M,Vijay,A1
126,120,Sushma Wali,19,F,,A1
127,121,Rizwan Kodgu,28,M,Arun,A1
128,122,Puneeth Lamni,28,M,Sunil,A1
129,123,Nagaraj Shanbhag,34,M,Dinesh,A1
130,124,Dhanya Wali,23,F,Dinesh,A1
131,125,Karthik Pawar,48,M,Anil,A1
132,126,Chandru Chavan,25,M,Eshwar,A1
133,127,Eshwar Uppar,50,M,Balaji,A1
134,128,Madhu Bandi,30,M,Chandru,A1
135,129,Ravi Khan,37,M,Nandish,A1
136,130,Venkatesh Nayaka,35,M,Chetan,A1
137,131,Devaraj Kodagu,26,M,Krishna,A1
138,132,Harish Desai,44,M,Venkatesh,A1
139,133,Srinivas Talaar,49,M,,A1
140,134,Chetan Pawar,20,M,Ganesh,A1
141,135,Gowramma Pail,47,F,Pavan,A1
142,136,Vinay Wali,43,M,Lohith,A1
143,137,Praveen Suvarna,43,M,,A1
144,138,Devaraj Kamath,48,M,Anil,A1
145,139,Anil Devadiga,18,M,Farhan,A1
146,140,Thimmaiah Lamani,25,M,Nagaraj,A1
147,140,Krishna Doddamai,55,M,Uday,A2
148,140,K. Sharma,35,M,,A3
149,140,Venkatesh Salian,42,M,,A4
150,141,Venkatesh Acharya,44,M,Lohith,A1
151,142,Varun Gaonkar,33,M,Sharath,A1
152,143,Rajesh Shetty,46,M,Darshan,A1
153,144,Rajesh Jadhav,37,M,,A1
154,145,Gopal Mallya,27,M,,A1
155,146,Rizwan Bandi,21,M,Thimmaiah,A1
156,147,Kalpana Uppar,18,F,Uday,A1
157,148,Abdul Murthy,45,M,Harish,A1
158,149,Srinivas Kumr,54,M,Pavan,A1
159,150,Santosh Kamath,49,M,Raghavendra,A1
160,151,Ravi Suvarna,19,M,Jagadish,A1
161,152,Umesh Suarna,22,M,Sandeep,A1
162,153,Balaji Rai,25,M,Umesh,A1
163,154,Srinivas Bandi,28,M,Salman,A1
164,155,Sandeep Rao,25,M,Venkatesh,A1
165,156,Farhan Gowda,56,M,Girish,A1
166,157,Sunil Angadi,43,M,Venkatesh,A1
167,158,H. Gowda,36,M,Sunil,A1
168,159,Usha Nayaa,45,F,Darshan,A1
169,160,Chandana Gowda,36,F,Devaraj,A1
170,161,Ganesh Rao,26,M,S.,A1
171,162,Nandish Gowda,51,M,Sandeep,A1
172,163,Abdul Bandi,52,M,Manjunath,A1
173,164,Anitha Jadav,21,F,Thimmaiah,A1
174,165,Suresh Suvarna,50,M,Anil,A1
175,166,Chetan Reddy,41,M,,A1
176,167,Gopal Bhat,35,M,Abdul,A1
177,168,Vijay Mudaliar,33,M,Sunil,A1
178,169,Mahesh Shetty,48,M,Balaji,A1
179,170,Thimmaiah Iyer,29,M,,A1
180,171,Chetan Shanbhag,25,M,Arun,A1
181,172,Hanumantha Patil,24,M,Chetan,A1
182,173,Nandish Hadmani,38,M,,A1
183,174,Karthik Mudaliar,52,M,Tanveer,A1
184,175,Yogesh Belagavi,50,M,Chetan,A1
185,176,Nagaraj Setty,55,M,,A1
186,177,Nithin Kattimani,25,M,Nagaraj,A1
187,178,Hanumantha Chavan,35,M,Basavaraj,A1
188,179,Prakash Hadimani,40,M,,A1
189,180,Thimmaiah Pawar,47,M,Varun,A1
190,181,Kamala Lamani,38,F,Srinivas,A1
191,182,Waseem Doddamani,23,M,,A1
192,183,Abdul Kamath,26,M,Srinivas,A1
193,184,Girish Gaonkar,18,M,Praveen,A1
194,185,Shwetha Kattimani,46,F,Devaraj,A1
195,186,Netravati Jadhav,20,F,Lohith,A1
196,187,H. Murthy,31,M,Basavaraj,A1
197,188,Basavaraj Belagavi,25,M,Darshan,A1
198,189,Darshan Hadimani,35,M,Raghavendra,A1
199,190,Girish Doddamani,17,M,Suresh,A1
200,191,Ishwarya Belagavi,25,F,Madhu,A1
201,192,Girish Khan,46,M,Thimmaiah,A1
202,193,Varun Hiremath,38,M,Gopal,A1
203,194,Raghavendra Muthy,22,M,Thimmaiah,A1
204,195,Harish Shanbhag,40,M,Salman,A1
205,196,Pavan Angadi,42,M,Rizwan,A1
206,197,Lohith Naik,49,M,Dinesh,A1
207,198,Eshwar Uppar,52,M,Chandru,A1
208,199,Thimmaiah Doddamani,41,M,Omkar,A1
209,200,Manjunath Kodagu,22,M,Prakash,A1
210,201,Anil Rao,26,M,,A1
211,202,Devaraj Kulkarni,42,M,,A1
212,203,Chandru Gaonkar,25,M,Srinivas,A1
213,204,Suresh Uppar,40,M,Omkar,A1
214,205,Bharathi Suvarna,46,F,Vinay,A1
215,206,Praveen Lamani,31,M,Nandish,A1
216,207,Karthik Khan,30,M,,A1
217,208,Chandana Naik,39,F,Praveen,A1
218,209,Sandeep Pujari,27,M,Tanveer,A1
219,210,Abdul Kamath,37,M,,A1
220,211,Zameer Naik,38,M,,A1
221,212,B. Lamani,55,F,,A1
222,213,Abdul Reddy,33,M,Suresh,A1
223,214,Manjunath Gaonkar,48,M,Krishna,A1
224,215,Ramesh Khan,43,M,Tanveer,A1
225,216,Lohith Mudaliar,44,M,,A1
226,217,Eshwar Belagavi,25,M,Vijay,A1
227,218,Omkar Acharya,39,M,Farhan,A1
228,219,Naveen Uppar,35,M,Farhan,A1
229,220,Naveen Bhat,56,M,Shivakumar,A1
230,221,Srinivas Bandi,46,M,Harish,A1
231,222,Deepika Nayaka,34,F,Krishna,A1
232,223,Farhan Shetty,40,M,Uday,A1
233,224,Nandish Acharya,28,M,,A1
234,225,Usha Reddy,33,F,Chandru,A1
235,226,Anand Mallya,28,M,,A1
236,227,Gopal Chavan,20,M,Uday,A1
237,228,Abdul Khan,35,M,,A1
238,229,Praveen Badiger,28,M,Madhu,A1
239,230,Waseem Acharya,31,M,Arun,A1
240,231,Anand Kamath,18,M,Manjunath,A1
241,232,Umesh Patil,40,M,Lohith,A1
242,233,Omkar Kamath,18,M,Sandeep,A1
243,234,Waseem Reddy,37,M,Salman,A1
244,235,Santosh Lamani,34,M,Yogesh,A1
245,236,Puneeth Naik,42,M,Suresh,A1
246,237,Shwetha Kulkarni,19,F,Yashwanth,A1
247,238,Sandeep Naik,50,M,Sandeep,A1
248,239,Kiran Gaonkar,25,M,Chetan,A1
249,240,Harish Rao,54,M,,A1
250,241,Karthik Hadimani,38,M,Farhan,A1
251,242,Mahesh Talawar,27,M,,A1
252,243,Ramesh Shetty,41,M,Balaji,A1
253,244,Ramesh Gaonkar,40,M,Sharath,A1
254,245,Rizwan Kulkarni,25,M,,A1
255,246,Raghavendra Madiwalar,55,M,Balaji,A1
256,247,Sandeep Acharya,21,M,,A1
257,248,Tanveer Naik,31,M,Venkatesh,A1
258,249,Imran Shetty,34,M,Karthik,A1
259,250,Nithin Belagavi,47,M,Rajesh,A1
260,251,Sandeep Rao,24,M,Venkatesh,A1
261,252,Jagadish Mallya,24,M,Krishna,A1
262,253,Lokesh Murthy,38,M,Chandru,A1
263,254,Ravi Shanbhag,22,M,,A1
264,255,Anand Mallya,30,M,,A1
265,256,Praveen Naik,37,M,Basavaraj,A1
266,257,Pavan Kodagu,53,M,Venkatesh,A1
267,258,Sahana Gaonkar,26,F,,A1
268,259,Santosh Iyer,28,M,,A1
269,260,Manjula Angadi,32,F,Balaji,A1
270,261,Anil Talawar,32,M,Prakash,A1
271,262,Mohammed Shanbhag,48,M,Nandish,A1
272,263,Ravi Mudaliar,50,M,Manjunath,A1
273,264,Uday Pawar,22,M,Naveen,A1
274,265,N. Mudaliar,38,M,Santosh,A1
275,266,Jagadish Devadiga,46,M,Chetan,A1
276,267,Waseem Rao,46,M,Chetan,A1
277,268,Karthik Patil,42,M,Gopal,A1
278,269,Nagaraj Uppar,43,M,Srinivas,A1
279,270,Gopal Mallya,19,M,Mohammed,A1
280,271,Nagaraj Kulkarni,26,M,Suresh,A1
281,272,Rachana Lamani,35,F,Tanveer,A1
282,272,Jagadish Shetty,30,M,Nandish,A2
283,273,Latha Kulkarni,43,F,Kiran,A1
284,274,Omkar Lamani,43,M,Pavan,A1
285,275,Praveen Bat,52,M,,A1
286,276,Mahesh Pujari,20,M,Anil,A1
287,277,Ramesh Bhat,38,M,Kiran,A1
288,278,Waseem Angadi,20,M,Suresh,A1
289,279,Anil Shetty,28,M,Sandeep,A1
290,280,Lohith Uppar,20,M,Uday,A1
291,281,Jagadish Suvarna,45,M,Umesh,A1
292,282,Farhan Salian,34,M,Mahesh,A1
293,283,Basavaraj Devadiga,46,M,Hanumantha,A1
294,284,Anand Lamani,22,M,Raghavendra,A1
295,285,Salman Doddamani,34,M,,A1
296,286,Hemalatha Kulkarni,31,F,Uday,A1
297,287,Karthik Sharma,38,M,,A1
298,288,Zeenath Patil,28,F,Santosh,A1
299,289,Shivakumar Suvarna,47,M,Omkar,A1
300,290,Darshan Murthy,23,M,Eshwar,A1
301,291,Abdul Anadi,20,M,Tanveer,A1
302,292,Vani Bhat,23,F,Nithin,A1
303,293,Nandish Khan,33,M,Imran,A1
304,294,Farhan Pujari,46,M,,A1
305,295,Kiran Mallya,31,M,Umesh,A1
306,296,Yashwanth Mudaliar,23,M,,A1
307,297,Vinay Naik,33,M,Santosh,A1
308,298,Prakash Kulkarni,43,M,Rajesh,A1
309,298,Darshan Wali,48,M,Vijay,A2
310,299,Abdul Hegde,25,M,Uday,A1
311,300,Rizwan Salian,20,M,Sandeep,A1
312,301,Puneeth Gowda,20,M,Mohammed,A1
313,302,Chetan Pawar,21,M,Ganesh,A1
314,303,Gopal Achaya,24,M,Ramesh,A1
315,304,Nagaraj Belagavi,37,M,Eshwar,A1
316,305,Sharath Talawar,30,M,Shivakumar,A1
317,306,Ranganath Devadiga,43,M,Ravi,A1
318,307,Sandeep Gowda,21,M,Salman,A1
319,308,Nandish Kulkarni,28,M,Harish,A1
320,309,Karthik Doddamani,26,M,Rizwan,A1
321,310,Eshwar Gaonkar,45,M,Krishna,A1
322,311,Kiran Kulkarni,48,M,,A1
323,312,Kalpana Uppar,26,F,Umesh,A1
324,313,Manjunath Angadi,42,M,Suresh,A1
325,314,Yogesh Belagavi,17,M,,A1
326,315,H. Kodagu,20,F,Uday,A1
327,316,Kavya Nayaka,32,F,Girish,A1
328,317,Karthik Kodagu,21,M,Krishna,A1
329,318,Devaraj Rao,54,M,Kiran,A1
330,319,Lakshmi Mallya,40,F,Madhu,A1
331,320,Ravi Salian,29,M,Puneeth,A1
332,321,Darshan Hadimani,19,M,Nagaraj,A1
333,322,Farhan Murthy,31,M,,A1
334,323,Zameer Naik,45,M,Raghavendra,A1
335,324,Gowramma Nayaka,51,F,Farhan,A1
336,325,Lohith Angadi,22,M,Sunil,A1
337,326,Chandru Sharma,32,M,,A1
338,327,Vinay Bhat,18,M,Balaji,A1
339,327,Darshan Wli,49,M,Vijay,A2
340,328,Naveen Rao,19,M,Madhu,A1
341,329,Salman Patil,27,M,Sunil,A1
342,330,Naveen Patil,27,M,Gopal,A1
343,331,Balaji Hegde,32,M,Chandru,A1
344,332,Waseem Murthy,52,M,Tanveer,A1
345,333,Chandru Suvarna,49,M,Basavaraj,A1
346,334,Ranganath Iyer,35,M,,A1
347,335,Harish Doddamani,23,M,,A1
348,336,Kiran Hadimani,43,M,,A1
349,337,Ranganath Rai,51,M,Darshan,A1
350,338,Madhu Doddmani,47,M,Arun,A1
351,339,Arun Badiger,17,M,Harish,A1
352,340,Ruksana Desai,22,F,Lohith,A1
353,341,Anil Pawar,31,M,Prakash,A1
354,342,Indira Uppar,45,F,Farhan,A1
355,343,Darshan Pujari,18,M,Anil,A1
356,344,Chetan Kamath,21,M,Varun,A1
357,345,Yashwanth Badiger,39,M,Ramesh,A1
358,346,Sharath Reddy,25,M,Girish,A1
359,347,Triveni Bhat,43,F,,A1
360,348,Sandeep Reddy,23,M,Balaji,A1
361,349,Anil Belagavi,39,M,Jagadish,A1
362,350,Rajesh Mudaliar,49,M,Puneeth,A1
363,351,Shivakumar Gowda,54,M,,A1
364,352,Latha Hiremath,41,F,,A1
365,353,Waseem Iyer,19,M,Thimmaiah,A1
366,354,Kiran Murthy,42,M,Umesh,A1
367,355,Puneeth Hiremath,36,M,Hanumantha,A1
368,356,Nandish Naik,42,M,Zameer,A1
369,357,Santosh Wali,43,M,Omkar,A1
370,358,Srinivas Suvarna,19,M,Ravi,A1
371,359,Ganesh Desai,29,M,,A1
372,360,Jagadish Bandi,38,M,Krishna,A1
373,361,Girish Hadimani,29,M,,A1
374,362,Kiran Lamani,49,M,Devaraj,A1
375,363,Raghavendra Pawar,49,M,Waseem,A1
376,364,Krishna Hiremath,41,M,Farhan,A1
377,365,Basavaraj Pujari,43,M,Yogesh,A1
378,366,Farhan Pujari,19,M,,A1
379,367,Ganesh Hadimani,56,M,Rajesh,A1
380,368,Kiran Rao,44,M,Karthik,A1
381,369,Manjunath Bhat,24,M,Karthik,A1
382,370,Hanumantha Hadimani,32,M,Rizwan,A1
383,371,Chandru Sharma,32,M,,A1
384,372,Sharath Lamani,47,M,Vinay,A1
385,373,Omkar Jadhav,51,M,Abdul,A1
386,374,K. Talawar,19,M,Naveen,A1
387,375,Anand Mallya,21,M,Kiran,A1
388,376,Abdul Pawar,48,M,Vijay,A1
389,376,Darshan Wali,48,M,Vijay,A2
390,376,Vinay Bhat,18,M,Balaji,A3
391,377,Girish Jadhav,36,M,Nandish,A1
392,378,Santosh Bandi,55,M,Karthik,A1
393,379,Puneeth Bandi,45,M,Salman,A1
394,380,Rajesh Naik,48,M,Imran,A1
395,381,Naveen Bhat,19,M,Umesh,A1
396,382,Hanumantha Belagavi,39,M,Waseem,A1
397,383,Bindu Iyer,42,F,Imran,A1
398,384,Manjunath Devadiga,20,M,,A1
399,385,Raghavendra Murthy,30,M,Raghavendra,A1
400,386,Farhan Kamath,33,M,Suresh,A1
401,387,Hanumantha Kattimani,47,M,Suresh,A1
402,388,Imran Gowda,34,M,Mohammed,A1
403,389,Raghavendra Nayaka,17,M,Lohith,A1
404,390,Rachana Wali,23,F,Nandish,A1
405,391,Kalpana Hegde,44,F,Anand,A1
406,392,Tanveer Pawar,20,M,Hanumantha,A1
407,393,Naveen Patil,27,M,Gopal,A1
408,394,Prakash Acharya,24,M,Vinay,A1
409,395,Puneeth Devadiga,41,M,Uday,A1
410,396,Kavya Rao,22,F,Yashwanth,A1
411,397,Nandini Madiwalar,39,F,Jagadish,A1
412,398,Lokesh Salian,18,M,Mohammed,A1
413,399,Imran Kattimani,29,M,,A1
414,400,Eshwar Naik,26,M,Harish,A1
415,401,Manjunath Uppar,32,M,Jagadish,A1
416,402,Nandini Hegde,18,F,Vijay,A1
417,403,Salman Angadi,44,M,Manjunath,A1
418,404,Sunitha Jahav,54,F,,A1
419,405,Praveen Shanbhag,26,M,Yogesh,A1
420,406,Salman Desai,49,M,Nagaraj,A1
421,407,Thimmaiah Talawar,25,M,Madhu,A1
422,408,Yashwanth Kamath,34,M,Krishna,A1
423,409,Zameer Khan,40,M,Dinesh,A1
424,410,Chandru Bandi,54,M,,A1
425,411,Vani Kulkrni,21,F,Arun,A1
426,412,Devaraj Devadiga,37,M,Harish,A1
427,413,Omkar Rai,25,M,Devaraj,A1
428,414,Prakash Salian,28,M,Chandru,A1
429,415,Umesh Murthy,27,M,,A1
430,416,Laxmi Salian,47,F,Ravi,A1
431,417,Naveen Acharya,49,M,,A1
432,418,Pallavi Hiremath,52,F,,A1
433,419,Srinivas Murthy,20,M,Pavan,A1
434,420,Anil Nayaka,48,M,Krishna,A1
435,421,Ganesh Pujari,23,M,Sharath,A1
436,422,Darshan Acharya,43,M,Nithin,A1
437,423,Gopal Kattimani,36,M,,A1
438,424,Sunil Iyer,50,M,Chandru,A1
439,425,Reshma Acharya,36,F,Prakash,A1
440,426,Srinivas Mallya,42,M,Yogesh,A1
441,427,Praveen Nayaka,43,M,Shivakumar,A1
442,428,Praveen Kodagu,41,M,Farhan,A1
443,429,Vinay Suvarna,34,M,Shivakumar,A1
444,430,P. Shetty,35,F,Shivakumar,A1
445,431,Nandish Sharma,20,M,,A1
446,432,Kiran Nayaka,21,M,,A1
447,433,Hanumantha Rai,44,M,Prakash,A1
448,434,Ranganath Suvarna,20,M,Manjunath,A1
449,435,Naveen Kodagu,22,M,Varun,A1
450,436,Chandru Talawar,41,M,Tanveer,A1
451,437,Zameer Iyer,21,M,Imran,A1
452,438,Vijay Badiger,52,M,Srinivas,A1
453,439,Vinay Acharya,28,M,Nagaraj,A1
454,440,Sushma Kattimani,30,F,Lokesh,A1
455,441,Shivakumar Kodagu,46,M,Anil,A1
456,442,Balaji Angadi,51,M,Naveen,A1
457,443,Devaraj Naik,34,M,Santosh,A1
458,444,Krishna Hiremth,23,M,Pavan,A1
459,445,Thimmaiah Chavan,42,M,Varun,A1
460,446,Arun Shanbhag,39,M,Vinay,A1
461,447,Salman Rai,23,M,,A1
462,448,Ramesh Mallya,18,M,Nandish,A1
463,449,Uday Mllya,49,M,Raghavendra,A1
464,450,Anil Jadhav,47,M,Praveen,A1
465,451,Salman Hiremath,51,M,Yashwanth,A1
466,452,Kiran Shetty,28,M,Tanveer,A1
467,453,Naveen Madiwalar,39,M,Waseem,A1
468,454,N. Nayaka,47,M,Venkatesh,A1
469,455,Chandru Gowda,49,M,,A1
470,456,Ramesh Shetty,49,M,Uday,A1
471,457,Farhan Uppar,50,M,Basavaraj,A1
472,458,Girish Shetty,32,M,Karthik,A1
473,459,Ramesh Rai,55,M,Anand,A1
474,460,Yashwanth Iyer,33,M,Anil,A1
475,461,Ganesh Lamani,52,M,Umesh,A1
476,462,Yashwanth Talawar,30,M,,A1
477,463,Dinesh Acharya,50,M,Arun,A1
478,464,Pavan Chavan,20,M,Omkar,A1
479,465,Uday Nayaka,21,M,,A1
480,466,Lalitha Gaonkar,30,F,Tanveer,A1
481,467,Farhan Kodagu,47,M,Rizwan,A1
482,468,Deepika Acharya,19,F,Abdul,A1
483,469,Vijay Wali,34,M,Rizwan,A1
484,470,Puneeth Hegde,26,M,,A1
485,471,Zameer Talawar,32,M,Ramesh,A1
486,472,Karthik Wali,53,M,Basavaraj,A1
487,473,Darshan Acharya,44,M,Nithin,A1
488,474,Yashoda Jadhav,31,F,Omkar,A1
489,475,Devaraj Kulkarni,29,M,Shivakumar,A1
490,476,Thimmaiah Angadi,37,M,Farhan,A1
491,477,Ganesh Kan,51,M,Ganesh,A1
492,478,Eshwar Doddamani,23,M,Anil,A1
493,479,Ravi Mallya,45,M,Venkatesh,A1
494,480,Lokesh Iyer,20,M,Ravi,A1
495,481,Eshwar Reddy,21,M,Sandeep,A1
496,482,Srinivas Shetty,37,M,Puneeth,A1
497,483,Manjunath,20,M,Srinivas,A1
498,484,S. Lamani,47,M,Eshwar,A1
499,485,Chetan Murthy,53,M,Girish,A1
500,486,Puneeth Salian,44,M,Vinay,A1
501,487,Nandish Lamani,47,M,Hanumantha,A1
502,488,Lalitha Mallya,18,F,,A1
503,489,Umesh Doddamani,19,M,Eshwar,A1
504,490,Suresh Rai,23,M,Balaji,A1
505,491,Deepa Acharya,44,F,Praveen,A1
506,492,Kiran Shetty,21,M,Shivakumar,A1
507,493,Anil Desai,46,M,,A1
508,494,Shivakumar Kulkarni,49,M,Salman,A1
509,495,Nagaraj Angadi,46,M,Krishna,A1
510,496,Sharath Desai,35,M,Yogesh,A1
511,497,Rajesh Rai,48,M,Rajesh,A1
512,498,Vijay Kumar,23,M,Suresh,A1
513,499,Naveen Talawar,50,M,Tanveer,A1
514,500,Sunil Sharma,35,M,Rajesh,A1
515,501,Krishna Doddamani,22,M,,A1
516,502,Zameer Belagavi,34,M,Eshwar,A1
517,503,Umesh Naik,25,M,Praveen,A1
518,504,Roopa Devadiga,53,F,Uday,A1
519,505,Zameer Kaath,25,M,Chetan,A1
520,506,Dinesh Badiger,30,M,Vinay,A1
521,507,Manjunath Doddamani,36,M,Jagadish,A1
522,508,Lokesh Pawar,27,M,,A1
523,509,Basavaraj Chavan,51,M,Madhu,A1
524,510,Chandru Kamath,29,M,Shivakumar,A1
525,511,Waseem Jadhav,43,M,Md,A1
526,512,Devaraj Mallya,26,M,Sharath,A1
527,513,Madhu Pujari,37,M,Nandish,A1
528,514,Rizwan Uppar,46,M,Naveen,A1
529,515,Vidya Mallya,56,F,Nandish,A1
530,516,Rajesh Naik,48,M,,A1
531,517,Sandeep Gaonkar,21,M,,A1
532,518,Madhu Kattimani,36,M,Ranganath,A1
533,519,Nagaraj Hadimani,23,M,Tanveer,A1
534,520,Rajesh Acharya,54,M,Srinivas,A1
535,521,Ranganath Lamani,24,M,,A1
536,522,Nithin Mudaliar,21,M,Eshwar,A1
537,523,Harish Gowda,20,M,Sandeep,A1
538,524,Nithin Uppar,23,M,Prakash,A1
539,525,Nithin Pawar,53,M,Arun,A1
540,526,Triveni Bhat,20,F,Basavaraj,A1
541,527,Basavaraj Pawar,18,M,Rizwan,A1
542,528,Sahana Murthy,33,F,Mohammed,A1
543,529,Yashwanth Talawar,29,M,Nagaraj,A1
544,530,Ranganath Pujari,35,M,Lohith,A1
545,531,Devaraj Kodagu,17,M,Gopal,A1
546,532,Arun Badiger,35,M,Devaraj,A1
547,533,Venkatesh Iyer,27,M,Arun,A1
548,534,Naveen Angadi,18,M,Hanumantha,A1
549,535,Manjunath Shetty,36,M,,A1
550,536,Harish Gowda,36,M,,A1
551,537,Ravi Doddamani,48,M,Anil,A1
552,538,Mahesh Pawar,23,M,,A1
